uriProposicao,tema
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417784,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417793,Esporte e Lazer
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417793,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417795,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417795,"Agricultura, Pecuária, Pesca e Extrativismo"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417802,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417802,Direito Civil e Processual Civil
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417802,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417802,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417805,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417805,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417841,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417841,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417852,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417852,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417852,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417138,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417138,Finanças Públicas e Orçamento
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417178,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417178,"Política, Partidos e Eleições"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417326,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417326,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417326,"Política, Partidos e Eleições"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417340,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417340,"Viação, Transporte e Mobilidade"
